Agency,Reservation_Date,Hotel_Chain_Code,Hotel_Chain_Name,Hotel_Property_Name,Hotel_Address,Hotel_City_Name,Hotel_State,Hotel_Zip_Code,Hotel_Country_Code,Check_In_Date,Check_Out_Date,Number_of_Room_Nights,Daily_Rate,Total_Spend,GDS_Record_Locator,Online_Booking_Indicator
Agency A,00:00.0,BT,BTH HOTELS,BT Oxford Suites Boise BOI,1426 S Entertainment Avenue,Boise                    ,ID,83709,US,00:00.0,00:00.0,1,83,83,FOQRON,NULL
Agency A,00:00.0,BT,BTH HOTELS,BT Oxford Suites Boise BOI,1426 S Entertainment Avenue,Boise                    ,ID,83709,US,00:00.0,00:00.0,2,83,166,XPURSA,NULL
Agency A,00:00.0,DT,DOUBLETREE HOTELS                       ,DOUBLETREE BY HILTON SPOKANE CITY CTR,322 N SPOKANE FALLS CT,SPOKANE,WA,NULL,US,00:00.0,00:00.0,1,88,88,MIAXFA,N
Agency A,00:00.0,DT,DOUBLETREE HOTELS                       ,DOUBLETREE BY HILTON SPOKANE CITY CTR,322 N SPOKANE FALLS CT,SPOKANE,WA,NULL,US,00:00.0,00:00.0,1,88,88,RACCJI,N
Agency A,00:00.0,FN,FAIRFIELD INN                           ,FAIRFIELD INN & SUITES BURLEY,230 W 7TH ST N,BURLEY/RUPERT,ID,NULL,US,00:00.0,00:00.0,6,83,498,XGZVZY,N
Agency A,00:00.0,HI,HOLIDAY INNS                            ,HOLIDAY INN EXPRESS BOISE,2613 VISTA AVE.,BOISE,ID,NULL,US,00:00.0,00:00.0,1,77,77,FZZOJN,N
Agency A,00:00.0,WG,WINGATE INNS                            ,WINGATE BY WYNDHAM SPOKANE,2726 S FLINT RD,SPOKANE,WA,NULL,US,00:00.0,00:00.0,1,83,83,AZGGAR,N
Agency A,00:00.0,WG,WINGATE INNS                            ,WINGATE BY WYNDHAM SPOKANE,2726 S FLINT RD,SPOKANE,WA,NULL,US,00:00.0,00:00.0,1,83,83,CQOBXK,N
Agency A,00:00.0,WG,WINGATE INNS                            ,WINGATE BY WYNDHAM SPOKANE,2726 S FLINT RD,SPOKANE,WA,NULL,US,00:00.0,00:00.0,1,83,83,GEBXBN,N
Agency A,00:00.0,WG,WINGATE INNS                            ,WINGATE BY WYNDHAM SPOKANE,2726 S FLINT RD,SPOKANE,WA,NULL,US,00:00.0,00:00.0,1,83,83,GFOETU,N
Agency A,00:00.0,WG,WINGATE INNS                            ,WINGATE BY WYNDHAM SPOKANE,2726 S FLINT RD,SPOKANE,WA,NULL,US,00:00.0,00:00.0,1,83,83,TWSOPM,N
Agency A,00:00.0,ZD,BUDGET RENT A CAR,BUDGET RENT A CAR,NULL,Boise,ID,NULL,US,00:00.0,00:00.0,1,22.49,22.49,FOQRON,NULL
Agency A,00:00.0,ZD,BUDGET RENT A CAR,BUDGET RENT A CAR,NULL,Boise,ID,NULL,US,00:00.0,00:00.0,2,17.99,35.98,XPURSA,NULL
Agency A,00:00.0,YX,SYNXIS CORPORATION                      ,CASCADA - AN URBAN HOTEL,2500 CARLISLE BLVD  NE,ALBUQUERQUE,NM,NULL,US,00:00.0,00:00.0,2,81,162,MDPMHT,N
Agency A,00:00.0,DI,DAYS INN,DI Days Inn Pierre,520 W Sioux Ave,Pierre                   ,SD,57501,US,00:00.0,00:00.0,3,77,231,MIXWYL,NULL
Agency A,00:00.0,DT,DOUBLETREE HOTELS,DT Doubletree Seattle Airport,18740 Pacific Hwy S,Seattle                  ,WA,98188,US,00:00.0,00:00.0,1,152,152,MIXWYL,NULL
Agency A,00:00.0,ET,MARRIOTT CONFERENCE CTR,ENTERPRISE RENT A CAR,NULL,Rapid City,SD,NULL,US,00:00.0,00:00.0,3,27,81,MIXWYL,NULL
Agency A,00:00.0,RL,RED LION HOTELS,RL Red Lion Seattle Air,18220 International Blvd,Seattle                  ,WA,98188,US,00:00.0,00:00.0,1,109,109,MIXWYL,NULL
Agency A,00:00.0,SI,SHERATON HOTELS                         ,SHERATON DENVER WEST,360 UNION BLVD,DENVER,CO,NULL,US,00:00.0,00:00.0,3,149,447,NDCTVV,N
Agency A,00:00.0,WG,WINGATE INNS                            ,WINGATE BY WYNDHAM SPOKANE,2726 S FLINT RD,SPOKANE,WA,NULL,US,00:00.0,00:00.0,1,88,88,DKTGHL,N
Agency A,00:00.0,WG,WINGATE INNS                            ,WINGATE BY WYNDHAM SPOKANE,2726 S FLINT RD,SPOKANE,WA,NULL,US,00:00.0,00:00.0,1,88,88,GGQJVB,N
Agency A,00:00.0,SI,SHERATON HOTELS                         ,SHERATON DENVER WEST,360 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,2,156,312,OLIBAL,N
Agency A,00:00.0,FN,FAIRFIELD INN                           ,FAIRFIELD INN & SUITES BURLEY,230 W. 7TH ST. N.,BURLEY/RUPERT,ID,NULL,US,00:00.0,00:00.0,3,83,249,LSWGKE,N
Agency A,00:00.0,FN,FAIRFIELD INN                           ,FAIRFIELD INN & SUITES TURLOCK,3301 COUNTRYSIDE DR.,MODESTO,CA,NULL,US,00:00.0,00:00.0,7,84,588,HPELCT,N
