Agency,Reservation_Date,Hotel_Chain_Code,Hotel_Chain_Name,Hotel_Property_Name,Hotel_Address,Hotel_City_Name,Hotel_State,Hotel_Zip_Code,Hotel_Country_Code,Check_In_Date,Check_Out_Date,Number_of_Room_Nights,Daily_Rate,Total_Spend,GDS_Record_Locator,Online_Booking_Indicator
Agency A,00:00.0,HG,HOMEWOOD SUITE                          ,HOMEWOOD SUITES BY HILTON DENVER WEST,139 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,2,149,298,ACNSXP,N
Agency A,00:00.0,HG,HOMEWOOD SUITE                          ,HOMEWOOD SUITES BY HILTON DENVER WEST,139 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,2,149,298,FIBWRQ,N
Agency A,00:00.0,HG,HOMEWOOD SUITE                          ,HOMEWOOD SUITES BY HILTON DENVER WEST,139 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,2,149,298,JTFHFM,N
Agency A,00:00.0,HG,HOMEWOOD SUITE                          ,HOMEWOOD SUITES BY HILTON DENVER WEST,139 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,2,199,398,PFYRBT,N
Agency A,00:00.0,HG,HOMEWOOD SUITE                          ,HOMEWOOD SUITES BY HILTON DENVER WEST,139 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,12,149,1788,FWEEVI,N
Agency A,00:00.0,HH,HILTON/CONRAD HOTELS                    ,HILTON GARDEN INN COVINGTON/MANDEVILLE,350 HOLIDAY SQ. BLVD.,NEW ORLEANS,LA,NULL,US,00:00.0,00:00.0,5,91,455,DOTDOM,N
Agency A,00:00.0,HH,HILTON/CONRAD HOTELS                    ,HILTON GARDEN INN SPOKANE AIRPORT,9015 W. SR HWY. 2,SPOKANE,WA,NULL,US,00:00.0,00:00.0,2,88,176,XSBWOA,N
Agency A,00:00.0,HI,HOLIDAY INNS                            ,HOLIDAY INN AIRPORT,1616 S. WINDSOR DR.,SPOKANE,WA,NULL,US,00:00.0,00:00.0,1,87,87,NEIRIT,N
Agency A,00:00.0,HX,HAMPTON INNS                            ,HAMPTON INN SPOKANE,2010 S. ASSEMBLY RD.,SPOKANE,WA,NULL,US,00:00.0,00:00.0,1,88,88,NEIRIT,N
Agency A,00:00.0,SI,SHERATON HOTELS                         ,SHERATON DENVER WEST,360 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,2,156,312,EKNLET,N
Agency A,00:00.0,SI,SHERATON HOTELS                         ,SHERATON DENVER WEST,360 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,2,156,312,OZFCOE,N
Agency A,00:00.0,WI,WESTIN HOTELS                           ,WESTIN CASUARINA LAS VEGAS CASINO & SPA,160 E. FLAMINGO,LAS VEGAS,NV,NULL,US,00:00.0,00:00.0,5,92,460,WXRBSP,N
Agency A,00:00.0,XV,SPRINGHILL SUITES                       ,SPRINGHILL SUITES DENVER AIRPORT,18350 E. 68TH AVE.,DENVER,CO,NULL,US,00:00.0,00:00.0,1,146,146,ACNSXP,N
Agency A,00:00.0,XV,SPRINGHILL SUITES                       ,SPRINGHILL SUITES DENVER AIRPORT,18350 E. 68TH AVE.,DENVER,CO,NULL,US,00:00.0,00:00.0,1,146,146,FIBWRQ,N
Agency A,00:00.0,XV,SPRINGHILL SUITES                       ,SPRINGHILL SUITES DENVER AIRPORT,18350 E. 68TH AVE.,DENVER,CO,NULL,US,00:00.0,00:00.0,1,146,146,JTFHFM,N
Agency A,00:00.0,BW,BEST WESTERN INTL                       ,BEST WESTERN AIRPORT INN,2425 S. 24TH ST.,PHOENIX,AZ,NULL,US,00:00.0,00:00.0,1,89.99,89.99,PTJGRG,N
Agency A,00:00.0,CC,CLARION HOTELS                          ,CLARION INN,1401 ARDEN WAY,SMITHFIELD,NC,NULL,US,00:00.0,00:00.0,2,84,168,TTGKZC,N
Agency A,00:00.0,HI,HOLIDAY INNS                            ,HOLIDAY INN EXPRESS PRESCOTT,3454 RANCH DR.,PRESCOTT,AZ,NULL,US,00:00.0,00:00.0,1,97,97,PTJGRG,N
Agency A,00:00.0,HI,HOLIDAY INNS                            ,HOLIDAY INN EXPRESS SACRAMENTO AIRPORT N,2981 ADVANTAGE WAY,SACRAMENTO,CA,NULL,US,00:00.0,00:00.0,2,99,198,EQRUQE,N
Agency A,00:00.0,HX,HAMPTON INNS                            ,HAMPTON INN & SUITES,2160 LARKSPUR LN.,REDDING,CA,NULL,US,00:00.0,00:00.0,8,89,712,ICJLHA,N
Agency A,00:00.0,HX,HAMPTON INNS                            ,HAMPTON INN & SUITES FOLSOM,155 PLACERVILLE RD.,FOLSOM,LA,NULL,US,00:00.0,00:00.0,2,102,204,NPPPYO,N
Agency A,00:00.0,HX,HAMPTON INNS                            ,HAMPTON INN & SUITES FOLSOM,155 PLACERVILLE RD.,FOLSOM,LA,NULL,US,00:00.0,00:00.0,3,102,306,ZJWYQM,N
Agency A,00:00.0,HX,HAMPTON INNS                            ,HAMPTON INN DENVER WEST,137 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,3,149,447,OITGQG,N
Agency A,00:00.0,LAR,LARKSPUR HOTELS & RESTAURANTS,LARKSPUR LANDING FOLSOM,121 IRON POINT RD.,SACRAMENTO,CA,NULL,US,00:00.0,00:00.0,3,102,306,WDNOIV,N
Agency A,00:00.0,RC,RESIDENCE INNS BY MARRIOTT              ,RESIDENCE INN BY MARRIOTT BOISE WEST,7303 W. DENTON ST.,BOISE,ID,NULL,US,00:00.0,00:00.0,4,83,332,NNBWAX,N
Agency A,00:00.0,BWP,BEST WESTERN PLUS,BEST WESTERN PLUS CLOCKTOWER INN,2511 1ST AVE. N.,BILLINGS,MT,NULL,US,00:00.0,00:00.0,10,83,830,QHYZII,N
Agency A,00:00.0,DT,DOUBLETREE HOTELS                       ,DOUBLETREE BY HILTON PORTLAND,1000 N.E. MULTNOMAH,PORTLAND,OR,NULL,US,00:00.0,00:00.0,3,113,339,SYBXCP,N
Agency A,00:00.0,HI,HOLIDAY INNS                            ,HOLIDAY INN EXPRESS BOISE,2613 VISTA AVE.,BOISE,ID,NULL,US,00:00.0,00:00.0,1,83,83,EVLFYU,N
Agency A,00:00.0,HI,HOLIDAY INNS                            ,HOLIDAY INN EXPRESS BOISE,2613 VISTA AVE.,BOISE,ID,NULL,US,00:00.0,00:00.0,1,83,83,RTIVOX,N
Agency A,00:00.0,HX,HAMPTON INNS                            ,HAMPTON INN DENVER WEST,137 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,1,156,156,LWSUEC,N
Agency A,00:00.0,RA,RAMADA HOTELS & INNS                    ,RAMADA INN MAINGATE SAGA,1650 S. HARBOR BLVD.,ANAHEIM,CA,NULL,US,00:00.0,00:00.0,2,95,190,BZYSUO,N
Agency A,00:00.0,RA,RAMADA HOTELS & INNS                    ,RAMADA INN MAINGATE SAGA,1650 S. HARBOR BLVD.,ANAHEIM,CA,NULL,US,00:00.0,00:00.0,2,95,190,RQBEJS,N
Agency A,00:00.0,RA,RAMADA HOTELS & INNS                    ,RAMADA INN MAINGATE SAGA,1650 S. HARBOR BLVD.,ANAHEIM,CA,NULL,US,00:00.0,00:00.0,2,95,190,RRSCTS,N
Agency A,00:00.0,SI,SHERATON HOTELS                         ,SHERATON DENVER WEST,360 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,1,149,149,EUSTHJ,N
Agency A,00:00.0,SI,SHERATON HOTELS                         ,SHERATON DENVER WEST,360 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,1,149,149,IDAYJE,N
Agency A,00:00.0,SI,SHERATON HOTELS                         ,SHERATON DENVER WEST,360 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,1,149,149,LBARSW,N
Agency A,00:00.0,SI,SHERATON HOTELS                         ,SHERATON DENVER WEST,360 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,1,149,149,TKQWQK,N
Agency A,00:00.0,SI,SHERATON HOTELS                         ,SHERATON DENVER WEST,360 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,1,149,149,VCWPJK,N
Agency A,00:00.0,SI,SHERATON HOTELS                         ,SHERATON DENVER WEST,360 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,2,125,250,BJQOEV,N
Agency A,00:00.0,SI,SHERATON HOTELS                         ,SHERATON DENVER WEST,360 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,2,125,250,YMKFAE,N
Agency A,00:00.0,SI,SHERATON HOTELS                         ,SHERATON DENVER WEST,360 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,8,149,1192,DETPZH,N
Agency A,00:00.0,HH,HILTON/CONRAD HOTELS                    ,HILTON ARLINGTON & TOWERS,950 N. STAFFORD ST.,WASHINGTON,DC,NULL,US,00:00.0,00:00.0,5,218,1090,BGCDCU,N
Agency A,00:00.0,HH,HILTON/CONRAD HOTELS                    ,HILTON GARDEN INN SPOKANE AIRPORT,9015 W. SR HWY. 2,SPOKANE,WA,NULL,US,00:00.0,00:00.0,1,88,88,SGHGLQ,N
Agency A,00:00.0,RC,RESIDENCE INNS BY MARRIOTT              ,RESIDENCE INN BY MARRIOTT BOISE WEST,7303 W. DENTON ST.,BOISE,ID,NULL,US,00:00.0,00:00.0,5,83,415,EYCVHS,N
Agency A,00:00.0,RC,RESIDENCE INNS BY MARRIOTT              ,RESIDENCE INN BY MARRIOTT BOISE WEST,7303 W. DENTON ST.,BOISE,ID,NULL,US,00:00.0,00:00.0,5,83,415,RVVXZU,N
Agency A,00:00.0,WG,WINGATE INNS                            ,WINGATE BY WYNDHAM SPOKANE,2726 S. FLINT RD.,SPOKANE,WA,NULL,US,00:00.0,00:00.0,1,88,88,SGHGLQ,N
Agency A,00:00.0,CC,CLARION HOTELS                          ,CLARION HOTEL PORTLAND,11518 N.E. GLENN WIDING DR.,PORTLAND,OR,NULL,US,00:00.0,00:00.0,3,99,297,ZRWLCQ,N
Agency A,00:00.0,ES,EMBASSY SUITES                          ,EMBASSY SUITES HOTEL ALBUQUERQUE NM,1000 WOODWARD PL. N.E.,ALBUQUERQUE,NM,NULL,US,00:00.0,00:00.0,4,99,396,QBMSUP,N
Agency A,00:00.0,ES,EMBASSY SUITES                          ,EMBASSY SUITES HOTEL ALBUQUERQUE NM,1000 WOODWARD PL. N.E.,ALBUQUERQUE,NM,NULL,US,00:00.0,00:00.0,5,99,495,MKKBCT,N
Agency A,00:00.0,ES,EMBASSY SUITES                          ,EMBASSY SUITES HOTEL ALBUQUERQUE NM,1000 WOODWARD PL. N.E.,ALBUQUERQUE,NM,NULL,US,00:00.0,00:00.0,5,99,495,OUFKMA,N
Agency A,00:00.0,FN,FAIRFIELD INN                           ,FAIRFIELD INN & SUITES BURLEY,230 W. 7TH ST. N.,BURLEY/RUPERT,ID,NULL,US,00:00.0,00:00.0,1,83,83,NPZZIZ,N
Agency A,00:00.0,HH,HILTON/CONRAD HOTELS                    ,HILTON GARDEN INN LAS VEGAS/HENDERSON,1340 W. WARM SPRINGS RD.,LAS VEGAS,NV,NULL,US,00:00.0,00:00.0,5,99,495,HSQSLC,N
Agency A,00:00.0,HI,HOLIDAY INNS                            ,HOLIDAY INN AIRPORT,1616 S. WINDSOR DR.,SPOKANE,WA,NULL,US,00:00.0,00:00.0,2,87,174,ZGFQGY,N
Agency A,00:00.0,HX,HAMPTON INNS                            ,HAMPTON INN DENVER WEST,137 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,4,139,556,TWRELJ,N
Agency A,00:00.0,HX,HAMPTON INNS                            ,HAMPTON INN DENVER WEST,137 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,4,149,596,IGESBM,N
Agency A,00:00.0,HX,HAMPTON INNS                            ,HAMPTON INN DENVER WEST,137 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,4,149,596,LPUYWG,N
Agency A,00:00.0,HX,HAMPTON INNS                            ,HAMPTON INN DENVER WEST,137 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,3,149,447,EFJSAX,N
Agency A,00:00.0,HX,HAMPTON INNS                            ,HAMPTON INN MISSOULA,4805 N. RESERVE ST.,MISSOULA,MT,NULL,US,00:00.0,00:00.0,1,87,87,RUFYPM,N
Agency A,00:00.0,HX,HAMPTON INNS                            ,HAMPTON INN MISSOULA,4805 N. RESERVE ST.,MISSOULA,MT,NULL,US,00:00.0,00:00.0,1,87,87,SVHGEG,N
Agency A,00:00.0,RC,RESIDENCE INNS BY MARRIOTT              ,RESIDENCE INN BY MARRIOTT BOISE WEST,7303 W. DENTON ST.,BOISE,ID,NULL,US,00:00.0,00:00.0,5,83,415,SLRKEV,N
Agency A,00:00.0,RC,RESIDENCE INNS BY MARRIOTT              ,RESIDENCE INN DENVER SOUTHWEST,7050 W. HAMPDEN AVE.,DENVER,CO,NULL,US,00:00.0,00:00.0,6,119.95,719.7,WTQNYL,N
Agency A,00:00.0,RC,RESIDENCE INNS BY MARRIOTT              ,RESIDENCE INN WEST-GOLDEN,14600 W. 6TH AVE. FRONTAGE,DENVER,CO,NULL,US,00:00.0,00:00.0,5,139.95,699.75,UBEXKK,N
Agency A,00:00.0,RC,RESIDENCE INNS BY MARRIOTT              ,RESIDENCE INN WEST-GOLDEN,14600 W. 6TH AVE. FRONTAGE,DENVER,CO,NULL,US,00:00.0,00:00.0,5,149,745,FTGVVW,N
Agency A,00:00.0,SI,SHERATON HOTELS                         ,SHERATON DENVER WEST,360 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,3,149,447,AMOUCD,N
Agency A,00:00.0,SI,SHERATON HOTELS                         ,SHERATON DENVER WEST,360 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,5,149,745,AKFRFT,N
Agency A,00:00.0,SI,SHERATON HOTELS                         ,SHERATON DENVER WEST,360 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,5,149,745,DPWDIT,N
Agency A,00:00.0,SI,SHERATON HOTELS                         ,SHERATON DENVER WEST,360 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,5,149,745,EWHBXJ,N
Agency A,00:00.0,SI,SHERATON HOTELS                         ,SHERATON DENVER WEST,360 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,5,149,745,KBIVBK,N
Agency A,00:00.0,SI,SHERATON HOTELS                         ,SHERATON DENVER WEST,360 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,5,149,745,ZIETDA,N
Agency A,00:00.0,WG,WINGATE INNS                            ,WINGATE BY WYNDHAM SPOKANE,2726 S. FLINT RD.,SPOKANE,WA,NULL,US,00:00.0,00:00.0,1,88,88,WOJPHJ,N
Agency A,00:00.0,WG,WINGATE INNS                            ,WINGATE BY WYNDHAM SPOKANE,2726 S. FLINT RD.,SPOKANE,WA,NULL,US,00:00.0,00:00.0,1,88,88,ZGFQGY,N
Agency A,00:00.0,WG,WINGATE INNS                            ,WINGATE BY WYNDHAM SPOKANE,2726 S. FLINT RD.,SPOKANE,WA,NULL,US,00:00.0,00:00.0,1,88,88,WOJPHJ,N
Agency A,00:00.0,BW,BEST WESTERN INTL                       ,BEST WESTERN BULLHEAD CITY INN,1126 HWY. 95,BULLHEAD CITY,AZ,NULL,US,00:00.0,00:00.0,2,62.99,125.98,YYUSSC,N
Agency A,00:00.0,HG,HOMEWOOD SUITE                          ,HOMEWOOD SUITES BY HILTON DENVER WEST,139 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,6,149,894,ZONNCI,N
Agency A,00:00.0,HG,HOMEWOOD SUITE                          ,HOMEWOOD SUITES BY HILTON DENVER WEST,139 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,3,149,447,ALJDIR,N
Agency A,00:00.0,HG,HOMEWOOD SUITE                          ,HOMEWOOD SUITES BY HILTON LAS VEGAS APT,230 HIDDEN WELL RD.,LAS VEGAS,NV,NULL,US,00:00.0,00:00.0,1,99,99,YYUSSC,N
Agency A,00:00.0,HH,HILTON/CONRAD HOTELS                    ,HILTON GARDEN INN BILLINGS,2465 GRANT RD.,BILLINGS,MT,NULL,US,00:00.0,00:00.0,3,83,249,UDKUYI,N
Agency A,00:00.0,HX,HAMPTON INNS                            ,HAMPTON INN ALBUQUERQUE AIRPORT,2231 YALE BLVD.,ALBUQUERQUE,NM,NULL,US,00:00.0,00:00.0,3,83,249,PLVPYV,N
Agency A,00:00.0,HX,HAMPTON INNS                            ,HAMPTON INN LAKE HAVASU,245 LONDON BRIDGE RD.,LAKE HAVASU CITY,IL,NULL,US,00:00.0,00:00.0,3,77,231,YYUSSC,N
Agency A,00:00.0,RL,RED LION HOTELS,RED LION HOTEL BOISE DOWNTOWNER,1800 FAIRVIEW AVE.,BOISE,ID,NULL,US,00:00.0,00:00.0,1,77,77,POFCHF,N
Agency A,00:00.0,TO,TOWNPLACE SUITES                        ,TOWNEPLACE SUITES BOISE DOWNTOWN,1455 S. CAPITOL BLVD.,BOISE,ID,NULL,US,00:00.0,00:00.0,4,83,332,ZBGMLM,N
Agency A,00:00.0,BW,BEST WESTERN INTL                       ,BEST WESTERN SOCORRO HOTEL AND SUITES,1100 CALIFORNIA NE.,ALBUQUERQUE,NM,NULL,US,00:00.0,00:00.0,4,83,332,DHXPUY,N
Agency A,00:00.0,CI,COMFORT INNS                            ,COMFORT INN ALBUQUERQUE AIRPORT,1801 YALE BLVD. S.E.,ALBUQUERQUE,NM,NULL,US,00:00.0,00:00.0,3,69,207,AAFPBK,N
Agency A,00:00.0,HG,HOMEWOOD SUITE                          ,HOMEWOOD SUITES BY HILTON DENVER WEST,139 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,3,149,447,HGDCUG,N
Agency A,00:00.0,KC,KIMCO HOTELS                            ,MONACO DENVER A KIMPTON,1717 CHAMPA ST.,DENVER,CO,NULL,US,00:00.0,00:00.0,4,156,624,KOFHUC,N
Agency A,00:00.0,RC,RESIDENCE INNS BY MARRIOTT              ,RESIDENCE INN PORTLAND AIRPORT AT CASCAD,9301 N.E. CASCADES PKWY.,PORTLAND,OR,NULL,US,00:00.0,00:00.0,1,126,126,FRQSKS,N
Agency A,00:00.0,RC,RESIDENCE INNS BY MARRIOTT              ,RESIDENCE INN PORTLAND AIRPORT AT CASCAD,9301 N.E. CASCADES PKWY.,PORTLAND,OR,NULL,US,00:00.0,00:00.0,1,126,126,INCXVE,N
Agency A,00:00.0,WM,WESTMARK HOTELS,WM Westmark Fairbanks,813 Noble St,Fairbanks                ,AK,99701,US,00:00.0,00:00.0,7,99,693,GIHWRZ,NULL
Agency A,00:00.0,XX,INDEPENDENT HOTELS,ALOFT PORTLAND AIRPORT AT CASCADE STATIO,9920 N.E. CASCADE PKWY.,PORTLAND,OR,NULL,US,00:00.0,00:00.0,4,126,504,JBZXXQ,N
Agency A,00:00.0,AL,ALOFT HOTELS,ALAMO RENT A CAR,NULL,Anchorage,AK,NULL,US,00:00.0,00:00.0,1,9,9,RAWHWR,NULL
Agency A,00:00.0,AL,ALOFT HOTELS,ALAMO RENT A CAR,NULL,Seattle,WA,NULL,US,00:00.0,00:00.0,5,21.2,106,NRQXCD,NULL
Agency A,00:00.0,CP,CROWNE PLAZA HOTELS,CP Crowne Plaza Downtown DEN,1450 Glenarm Place,Denver                   ,CO,80202,US,00:00.0,00:00.0,1,149,149,CAHFZP,NULL
Agency A,00:00.0,CY,COURTYARD BY MARRIOTT,CY Courtyard Anchorage Marriott ANC,4901 Spenard Road,Anchorage                ,AK,99517-3295,US,00:00.0,00:00.0,4,99,396,BKOUEQ,NULL
Agency A,00:00.0,DT,DOUBLETREE HOTELS,DT Doubletree Club Boise,475 W Park Center Blvd,Boise                    ,ID,83706,US,00:00.0,00:00.0,5,83,415,IOLYXU,NULL
Agency A,00:00.0,HH,HILTON/CONRAD HOTELS                    ,HILTON ANAHEIM,777 CONVENTION WAY,LOS ANGELES,CA,NULL,US,00:00.0,00:00.0,3,133,399,QHLWCO,N
Agency A,00:00.0,HH,HILTON/CONRAD HOTELS                    ,HILTON ANAHEIM,777 CONVENTION WAY,LOS ANGELES,CA,NULL,US,00:00.0,00:00.0,3,133,399,TCOYZG,N
Agency A,00:00.0,HI,HOLIDAY INNS                            ,HOLIDAY INN & SUITES ALBUQUERQUE AIRPORT,1501 SUNPORT PL.,ALBUQUERQUE,NM,NULL,US,00:00.0,00:00.0,4,83,332,QZJWUH,N
Agency A,00:00.0,HI,HOLIDAY INNS                            ,HOLIDAY INN EXPRESS BOISE,2613 VISTA AVE.,BOISE,ID,NULL,US,00:00.0,00:00.0,2,77,154,DSADZE,N
Agency A,00:00.0,HI,HOLIDAY INNS                            ,HOLIDAY INN EXPRESS BOISE,2613 VISTA AVE.,BOISE,ID,NULL,US,00:00.0,00:00.0,1,107,107,DSADZE,N
Agency A,00:00.0,KC,KIMCO HOTELS                            ,MONACO DENVER A KIMPTON,1717 CHAMPA ST.,DENVER,CO,NULL,US,00:00.0,00:00.0,4,156,624,JZFWGZ,N
Agency A,00:00.0,WV,TRAVELCLICK,WV Alpine Lodge,4920 Dale Rd,Fairbanks                ,AK,99709,US,00:00.0,00:00.0,2,69,138,VFHRPN,NULL
Agency A,00:00.0,WV,TRAVELCLICK,WV Alpine Lodge,4920 Dale Rd,Fairbanks                ,AK,99709,US,00:00.0,00:00.0,1,99,99,TVIOPK,NULL
Agency A,00:00.0,ZE,HERTZ,HERTZ,NULL,Fairbanks,AK,NULL,US,00:00.0,00:00.0,2,65,130,VFHRPN,NULL
Agency A,00:00.0,ZR,DOLLAR RENT A CAR,DOLLAR RENT A CAR,NULL,Boise,ID,NULL,US,00:00.0,00:00.0,5,31.6,158,IOLYXU,NULL
Agency A,00:00.0,AH,ASTON HOTEL,AH Aston at the Maui Banyon,2575 S Kihei Rd,Kihei                    ,HI,96753,US,00:00.0,00:00.0,1,145,145,ZMNAYM,NULL
Agency A,00:00.0,CY,COURTYARD BY MARRIOTT,CY Courtyard Marriott Cap Hill Na DCA,140 L Street SE,Washington               ,DC,20003,US,00:00.0,00:00.0,5,184,920,QNQMNU,NULL
Agency A,00:00.0,CY,COURTYARD BY MARRIOTT,CY Courtyard Marriott Cap Hill Na DCA,140 L Street SE,Washington               ,DC,20003,US,00:00.0,00:00.0,4,184,736,QNQMNU,NULL
