"VENDOR_DUNS_NUMBER","FISCAL_YEAR","NUMBER_OF_CONTRACTS","TOTAL_OBLIGATED_AMOUNT"
"132799664",2015,1,26818
"013719334",2015,3,85114.46
"831017848",2015,77,30890145.51
"005050346",2015,32,271122.76
"022112930",2015,3,432549
"601242910",2015,1,933640.5
"166608104",2015,1,89730
"013719334",2014,21,225084.33
"831017848",2014,256,94130415.42
"005050346",2014,143,1194809.1
"965229896",2014,1,130566.16
"966134368",2014,4,3130258.04
"192732142",2014,1,18433
"022112930",2014,3,1072888
"601242910",2014,3,1853613.47
"005050346",2013,74,630109.37
"601242910",2013,16,13761541.97
"831017848",2013,100,75493941.78
"013719334",2013,5,61717.5
