VENDOR_DUNS_NUMBER,FISCAL_YEAR,COUNT(1),SUM(TOTAL_OBLIGATED_AMOUNT)
60179850,2014,3,19224.34
688731094,2014,18,212801.69
41166976,2014,7,87191.95
6241236,2014,7,129347.34
31331051,2014,52,3074568.76
959274861,2014,15,74490.82
960546653,2014,24,2963112.17
808266741,2014,16,821450.04
967943168,2014,11,850180
102552015,2014,18,3545350.8
962411851,2014,1,624219.2
51071416,2014,14,5398003
829452221,2014,93,10189236.16
626502215,2014,15,254337.37
64891476,2014,10,813317.03
15948255,2014,7,11057.5
97670947,2014,21,383408.9
82177338,2014,1,8493.86
502662264,2014,13,55965.2
54608708,2014,6,70088.45
147331342,2014,1,93520
141374293,2014,11,358456.24
70908207,2014,60,810524.6
102638785,2014,4,15940
623855132,2014,7,5590414.71
832968973,2014,4,328062
2821734,2014,1,34868.64
833113702,2014,52,2350023.86
109119862,2014,2,696772.57
119133494,2014,16,5849609.77
801478384,2014,2,2228092.76
53499950,2014,14,390506
153929104,2014,17,297148
101382138,2014,77,775324.38
62926183,2014,15,482515.79
43204924,2014,50,3043266.94
53684309,2014,20,9194263.6
43547215,2014,49,331510.6
53599205,2014,1,24535
150825503,2014,1,2500
959131194,2014,17,8380233.11
150795342,2014,57,976395.14
786793075,2014,15,773512.5
626949481,2014,121,57898.9
77257715,2014,105,1021818.7
962685330,2014,3,50014.8
178044996,2014,2,340000
78376721,2014,8,116659.5
77294585,2014,67,823589
21657606,2014,1,41317
68677160,2014,5,74776.45
1526797,2014,7,159025.25
148034408,2014,8,2916375.66
52783859,2014,11,105032.57
341206811,2014,50,5171116.02
91598081,2014,37,6984284.24
884996943,2014,6,34627.9
844769786,2014,2,14000
794571448,2014,32,1585296252
781421011,2014,37,3375009
77133387,2014,8,9700
794350025,2014,7,6727524.63
40982196,2014,7,53306.44
5068861,2014,46,2399735.18
364609941,2014,43,958626.32
51731214,2014,76,1802513.13
79118800,2014,12,107673.13
161902184,2014,13,11092151.75
7494644,2014,28,651560.23
21883350,2014,5,3918861
156953796,2014,1,10500
802760579,2014,7,20181
79322408,2014,1,2080
196256812,2014,81,1956952.35
783140346,2014,295,3646608.16
132717591,2014,20,261317.5
161063151,2014,5,22972.92
13719334,2014,21,225084.33
9662057,2014,50,266604.58
174767137,2014,24,143518.79
809575306,2014,6,39035
80638760,2014,3,10687.57
361405657,2014,58,3795108.21
75463562,2014,18,945979
3031601,2014,24,630522.79
959919366,2014,3,14333.18
127726060,2014,4,234805
11115466,2014,7,61121.22
610798162,2014,15,8339988.16
798044665,2014,18,318359.98
1150978,2014,20,392416
124267860,2014,14,18937173.1
49709116,2014,12,678813
602405727,2014,4,219386.79
72051394,2014,73,16296518.98
537591377,2014,1,3797.82
7960529,2014,16,169050.43
121564939,2014,12,236340.46
137673609,2014,2,21627
174716113,2014,113,1893802.3
555662696,2014,53,8735644.21
70685073,2014,13,163181
791265882,2014,50,2360810.6
72766603,2014,19,293684.6
130851140,2014,4,93179.03
621165513,2014,17,45995686.6
108176884,2014,35,5486905.04
798792289,2014,4,62796.56
605404552,2014,1,21998.75
603246752,2014,43,559261.39
50927268,2014,14,136797.55
643388820,2014,1,708.01
830832163,2014,61,7778424.46
4921318,2014,46,1401063.24
166786165,2014,60,22437494.83
102181083,2014,15,164464.38
30582014,2014,46,103400.1
197260974,2014,16,5271926.19
928599021,2014,24,329757.47
135266851,2014,40,897686.51
624049560,2014,11,2947.92
1017870,2014,19,179192.57
78631879,2014,1,14900
400971164,2014,1,8129.01
44306348,2014,14,18160892.37
21715206,2014,141,156617063.7
46122396,2014,28,380874.73
145379124,2014,100,399918.84
76087733,2014,1,4200
51645935,2014,87,522946.07
185649303,2014,17,34625
128183043,2014,2,78389.04
780454430,2014,2,1683143.48
361657455,2014,5,102140.87
622557965,2014,88,1095084.94
43856723,2014,51,1131087
127193683,2014,4,11235487.51
826284718,2014,8,4347336
4180832,2014,7,2828760.54
63359541,2014,20,59295.76
622321602,2014,4,1056483.73
77404093,2014,42,12574839
175918846,2014,9,710475
967264990,2014,41,423746.68
616477022,2014,4,386469
859746336,2014,1,15142
79188347,2014,1,499600
626984520,2014,1,895050
187268065,2014,1,5350
137248964,2014,2,31368
2876006,2014,69,1616542.09
75018353,2014,1,7534
832320530,2014,4,290330
9692351,2014,33,865221.62
