VENDOR_DUNS_NUMBER,FISCAL_YEAR,COUNT(1),SUM(TOTAL_OBLIGATED_AMOUNT)
119101772,2014,5,33862
7944622,2014,3,177534
151098928,2014,32,125917.66
136574881,2014,1,18607
5698375,2014,1,69393.01
806327300,2014,3,22430.4
867773280,2014,7,51979.31
54227418,2014,1,78527
463756944,2014,3,35031.85
363345997,2014,10,19227.99
182598979,2014,2,63327
107381717,2014,3,29829.18
122891166,2014,1,99692.64
45070823,2014,1,7300
121387831,2014,11,212500
968425129,2014,6,68530
47782461,2014,2,102642
18815717,2014,10,90502.72
601879526,2014,5,59549.5
78305473,2014,3,114870
149722936,2014,1,53811
969979462,2014,1,19834.71
77704570,2014,1,19035
6313480,2014,6,267028.45
21818000,2014,6,17919041.1
50242838,2014,3,433747.56
140652913,2014,3,6025
149454881,2014,1,5764.78
38727181,2014,2,46919
91836080,2014,4,20655
659657618,2014,4,218489.5
790673334,2014,1,900
51815553,2014,7,146065.8
151780103,2014,3,56480
787293224,2014,8,1272527.69
78287907,2014,5,33807.5
118291975,2014,10,891147.59
603958989,2014,5,35142.93
25026001,2014,7,5762854.01
619889488,2014,5,81089
792804853,2014,3,22220.54
625142265,2014,9,62042.5
88060884,2014,1,6985
609584755,2014,3,25683.59
36133226,2014,1,37974.06
713996184,2014,2,47000
20905576,2014,1,15800
968049549,2014,1,622107.1
968139951,2014,2,0
79323917,2014,1,89998.85
603111717,2014,7,39559.34
143493554,2014,1,7499.25
6453575,2014,5,28861.74
78569074,2014,1,73537
58610544,2014,1,2640
144564390,2014,1,7300
824720247,2014,1,3250
186748125,2014,1,7425
153829403,2014,6,29015.53
42968503,2014,1,3314.9
926824301,2014,1,59200.17
929281731,2014,1,4000
131277725,2014,6,1464584.63
800224581,2014,4,428758.63
800982709,2014,3,22395
809743495,2014,2,13600
361171478,2014,1,5143.32
40575813,2014,6,123144.91
121016286,2014,5,116816.93
790381730,2014,5,159838.91
25008240,2014,5,142097.91
166765029,2014,5,112775
73722126,2014,15,192600.77
16404495,2014,1,52449
74121492,2014,1,309545
133205406,2014,5,395837.5
77004315,2014,11,259284.51
83028860,2014,1,4500
703496315,2014,12,1399103.89
145054107,2014,5,177120.41
619365872,2014,5,70009.94
110007890,2014,5,9808.1
153863097,2014,1,29400
178585113,2014,3,79249.52
431898584,2014,2,588408
850547291,2014,4,306892.2
868022906,2014,1,7238.21
148838746,2014,3,374063.49
827965281,2014,1,5620
79450985,2014,1,1701126
782930221,2014,4,3038208.36
3860087,2014,1,96100
14254903,2014,1,3738.25
59915538,2014,4,987109.85
132740288,2014,1,223119.4
137250973,2014,6,3791594.6
137522715,2014,3,8025
138917229,2014,3,69000
89427413,2014,3,17662
7331247,2014,2,34095
797981771,2014,2,0
112375469,2014,2,18300
612694372,2014,2,93217.4
796334444,2014,1,30500
966806965,2014,8,4516851.55
7901671,2014,2,41159.47
54798376,2014,1,816
833062883,2014,1,12668.4
809844306,2014,4,1492062.06
56581648,2014,2,757966
782247576,2014,6,4952642
830875519,2014,1,3914
780417726,2014,14,83158.81
95519989,2014,8,218897.75
39927012,2014,12,270164.73
12484366,2014,23,252938.16
529047223,2014,1,10800
180188310,2014,1,37000
9184578,2014,14,291657.7
683529687,2014,3,143010
631214947,2014,1,206666666.7
22015010,2014,1,3651
604721019,2014,1,6765
9512187,2014,6,54312
154163690,2014,2,48029.67
100683676,2014,2,28736.29
968640040,2014,7,8875403.76
27856876,2014,2,1200
76955772,2014,8,2457007.18
832369537,2014,4,2959627.96
362951758,2014,1,33458.59
968822197,2014,1,7120000
101223287,2014,1,7718.11
948701573,2014,1,68100
956231245,2014,1,48791.97
620765123,2014,4,268333.97
67682070,2014,6,18572.5
827632758,2014,2,0
69174266,2014,14,219175.41
145856162,2014,15,9765
962388919,2014,8,7490
76248350,2014,15,74206.67
364289574,2014,3,124844.18
39392225,2014,5,870316.04
89241459,2014,10,145812.6
829671374,2014,9,957912.48
801220612,2014,2,3850
186536561,2014,1,14321
830660387,2014,5,60274
809558070,2014,3,33862.25
1224922,2014,1,1250
24742785,2014,2,34023
176087393,2014,4,60273
78291516,2014,1,8736
16556495,2014,17,16079933.07
51699627,2014,1,3310
9049198,2014,1,107102
19652072,2014,9,444975
961531402,2014,5,106176
59133509,2014,1,4866054
602894367,2014,1,147345.72
832221845,2014,1,9906.84
41376144,2014,10,21016
884758467,2014,1,84
788067304,2014,2,179016
966203247,2014,9,2895779.84
199538562,2014,2,48406.81
79219385,2014,1,3647.12
88384628,2014,1,499999.25
175578772,2014,5,2688927.61
829450246,2014,7,696911.98
147254960,2014,6,293075
79422265,2014,2,60901.31
143313646,2014,3,23195.1
65821084,2014,1,157523.6
95706842,2014,2,43451
960620169,2014,3,41076.43
1454701,2014,1,16133
1022581,2014,3,245140.8
78314894,2014,4,53920
249938465,2014,8,2261530
829345961,2014,1,952981
780464264,2014,1,48186.75
7077746,2014,3,39039.8
54626281,2014,3,12480
691748615,2014,13,151463.51
836003459,2014,1,124996
781417709,2014,1,15000
22920950,2014,1,162970.08
619504046,2014,2,7220
604335398,2014,1,6470
112350652,2014,3,67405.2
98444946,2014,1,16808
15268287,2014,1,297275
57757275,2014,2,108640.97
795073600,2014,1,29961
139112994,2014,4,131063
31457787,2014,2,70792.32
79130928,2014,1,308847.37
35412337,2014,2,20985
136729634,2014,1,5697
784106754,2014,4,33992.78
831347153,2014,1,10000
176655280,2014,3,108969
82482621,2014,2,20019
966251832,2014,1,3500
142753875,2014,3,400789
830061722,2014,1,28973.62
83656892,2014,19,31266597.29
107532830,2014,3,20206
69949345,2014,3,88291.15
78667096,2014,2,45210
962661588,2014,1,4564.67
40112179,2014,15,308272.26
78755650,2014,3,225150
88674585,2014,2,360329
77932770,2014,4,288806.8
688842728,2014,4,54860.57
944374602,2014,1,10796.69
10788545,2014,1,30379.2
608236451,2014,4,29016.9
137574484,2014,2,87813.66
199441481,2014,1,1762000
963565739,2014,2,12398
79454704,2014,1,5569
78774111,2014,3,8800
9557760,2014,4,22416.79
115036337,2014,12,2366565.89
188459929,2014,21,29541018.2
96632989,2014,1,9600
174092853,2014,7,1214388.46
147390793,2014,8,9503188
608672114,2014,6,4162393.02
182896829,2014,19,801688.23
701331894,2014,1,2882.32
102248270,2014,3,693548
688379821,2014,3,183181.2
8117988,2014,5,17726.15
124955845,2014,1,3272.85
827969481,2014,1,3420.76
107968567,2014,3,8599007
30969406,2014,1,23700
169065054,2014,1,68250
84510890,2014,1,7500
78481687,2014,1,257227
800768678,2014,2,78100
833089621,2014,6,1577948
795103964,2014,1,4440
72403983,2014,9,98484.8
363319562,2014,1,264341
6617604,2014,6,131168.46
342741980,2014,6,54078.8
39134515,2014,7,1829600.87
78721972,2014,7,466576.63
61632387,2014,2,8176.85
148054088,2014,4,45148146.31
171266385,2014,1,10906
18860556,2014,37,672315.17
151679180,2014,4,216444.83
107935835,2014,6,6146162.66
824704878,2014,2,9927
783985054,2014,3,3859180
84826403,2014,2,34015.55
799454657,2014,1,14451.68
167218366,2014,2,12547.5
833131118,2014,2,23220
4612469,2014,1,200000
31976897,2014,4,4583.35
556296820,2014,5,61661.75
78426433,2014,3,204472.4
121014802,2014,3,14957.96
75429501,2014,18,12259125.03
878510510,2014,5,85.5
796854664,2014,1,4950
969561583,2014,9,672652.22
144269144,2014,1,14500
620118062,2014,1,2830
968682463,2014,6,2124262.82
28501239,2014,3,16774
793866000,2014,4,87795
159878297,2014,1,18533
966127979,2014,1,4230
44746220,2014,2,19335
784094976,2014,1,3973340
15641132,2014,6,2875
147223796,2014,3,667707.47
22874635,2014,5,530379.53
54403324,2014,1,4074.65
139019090,2014,1,10500
371440384,2014,1,11499.93
146008839,2014,2,62633
45003402,2014,2,11961
534725010,2014,1,873274.36
190002456,2014,2,289672.42
622746100,2014,1,498900
192518004,2014,4,160795.96
615261596,2014,9,73735.27
110264632,2014,8,87285.09
838472306,2014,2,31250
190165576,2014,6,105053.55
75616599,2014,3,39975.89
612706465,2014,11,125472501.5
6336390,2014,1,42560
829113708,2014,1,21000
956230986,2014,2,56699
151336997,2014,1,21930
41027822,2014,12,2284160.7
68277859,2014,4,49703.75
150491314,2014,5,574762.8
107931859,2014,3,42746
38905587,2014,1,8156
78569505,2014,7,94925.95
162480370,2014,1,7285
10636005,2014,1,6800
827076980,2014,2,94383
796475382,2014,35,670654.98
78534662,2014,5,23373.08
135245186,2014,1,73803
868174793,2014,1,1081489.05
959577578,2014,1,25464
3060340,2014,6,410041.01
557141343,2014,2,6000
133616057,2014,1,4623.7
126164800,2014,3,94400
361544872,2014,1,107080.54
163696532,2014,11,982335.58
610047987,2014,3,82603.62
78706424,2014,7,72000
614760200,2014,3,6517270
2225514,2014,1,79611
946008708,2014,1,15000
6967004,2014,10,26425.05
962195405,2014,1,142541.14
124631800,2014,2,96976
166443507,2014,10,6000
850457072,2014,3,13515
6335558,2014,15,592676.43
699380825,2014,2,551630.23
78350273,2014,1,7953
627085947,2014,5,54319.68
797771813,2014,1,32623.81
81575172,2014,1,7500
834285280,2014,1,3600
78880248,2014,1,5249.36
802896290,2014,23,278557.35
78350023,2014,5,683618.86
17662339,2014,23,232675.87
79337760,2014,2,1067680
103324109,2014,15,373636
136803587,2014,1,65670
101635365,2014,2,13914.73
79480782,2014,1,12980
844312939,2014,1,152150
623181463,2014,5,25085
79208329,2014,3,64738.8
74424540,2014,1,5976.73
832295542,2014,3,1206167.4
968811666,2014,2,18593.5
43687367,2014,3,340292.79
150550770,2014,1,15362.36
186318457,2014,4,219379.2
78702984,2014,1,8160.68
8236911,2014,3,146144
932981566,2014,3,509148.71
130012508,2014,1,12550
6153946,2014,2,2127313.37
139629240,2014,3,13966.95
191482343,2014,1,113905
9557623,2014,4,19896
87264557,2014,9,15907726.64
849416891,2014,1,3952.77
563876791,2014,5,61167.28
4892188,2014,23,1368042.76
2032522,2014,4,19873.29
854855400,2014,7,133904.18
40549180,2014,1,62000
24627882,2014,2,146394
51303824,2014,3,28537.13
19016695,2014,1,21175
602036162,2014,1,71549.75
610347833,2014,12,1206248.93
790937069,2014,1,8245
830833583,2014,4,4981.88
86711582,2014,6,48257.06
968862586,2014,1,6562
141809066,2014,1,12600
552710063,2014,2,11539.32
829894471,2014,1,5999
17132510,2014,9,8398506.3
2497493,2014,2,16363.44
5005525,2014,13,340739.73
137151325,2014,1,14320
78781496,2014,18,238548
193368313,2014,3,16412
66553686,2014,1,1467
77665396,2014,3,507419
79356552,2014,1,4800
939737743,2014,3,219875
78674946,2014,1,149802
197222748,2014,1,4015
69394435,2014,3,30093.4
833116960,2014,3,6403.08
943785873,2014,1,31000
35982321,2014,2,61370.09
86199259,2014,24,1743014.54
99933921,2014,5,60733.25
24299146,2014,2,15388.26
17893335,2014,2,66496.6
877685933,2014,3,2436909.19
11945391,2014,8,182321.39
967536090,2014,3,109840
192271448,2014,5,823318.78
965693435,2014,1,23010
102451304,2014,3,33799.44
101271369,2014,1,1237.5
928218155,2014,3,2275745.89
176142693,2014,2,299937
828987920,2014,6,677414.21
152321097,2014,4,49645.04
161162409,2014,1,8669.7
13400721,2014,8,219368.8
784226511,2014,7,127526.59
607093051,2014,4,99559.14
926464793,2014,3,130000
75475020,2014,6,28551.73
98806250,2014,1,23640
51273493,2014,2,3032
153345173,2014,8,90366.08
931624209,2014,1,7245.4
809249639,2014,2,42969.78
806289596,2014,6,3487145.59
806099065,2014,3,13694
11368420,2014,1,10165
829835862,2014,1,147513.35
778902155,2014,12,50265.13
701735466,2014,5,130057.47
126675656,2014,9,451283.15
78721450,2014,1,17025
120354782,2014,12,104317.85
503198009,2014,1,6000
850462415,2014,5,57154.82
828739776,2014,2,53190
830697231,2014,4,21360
143150329,2014,3,8100
688023279,2014,2,64076.07
12823261,2014,1,28225
77577141,2014,10,238705
4913166,2014,1,209992.23
78725303,2014,4,103437
127963515,2014,1,99792
126168025,2014,1,10338
78750786,2014,1,9520
70056445,2014,2,21528.4
807316695,2014,3,20150
808480185,2014,7,88705
38675489,2014,1,12000
3864845,2014,1,15000
4177146,2014,8,173286
832214634,2014,1,20640
536029747,2014,1,91267.4
832904770,2014,2,3942108.9
33250291,2014,1,1500
78839038,2014,5,74680
803840156,2014,7,355300
832705748,2014,2,168351.16
825845576,2014,15,864395
124974788,2014,4,67950.97
830992785,2014,1,60000
942409277,2014,2,66798.8
138206946,2014,4,279943.49
78564509,2014,1,30608
832067560,2014,3,13495.65
122665169,2014,3,261367.76
806415238,2014,8,3144730
610607723,2014,3,22586.33
196732007,2014,3,195572.47
40573966,2014,7,4347172.19
71123574,2014,1,7644
784877578,2014,6,7839289.7
20800090,2014,1,24990
877551523,2014,14,45970.78
798042685,2014,1,11665
79446490,2014,1,24980.48
940174980,2014,2,38759.37
47746961,2014,1,19422
964277321,2014,1,138468
602515132,2014,6,583943.61
807547880,2014,5,484037.65
967431086,2014,1,8440
77261980,2014,5,78778.34
35971159,2014,3,16213.56
276278967,2014,4,57123.5
97850689,2014,6,173826
807014902,2014,5,2710400
829616767,2014,1,21973.32
133429824,2014,14,6241250
97431639,2014,3,20400
939120382,2014,2,1067501
20960436,2014,6,53075.92
13142071,2014,2,642865.82
78519201,2014,9,1489459
185551330,2014,2,1299603.11
2208379,2014,21,3844383.44
79350694,2014,1,8214.8
802305862,2014,4,18250
794332890,2014,1,11278.25
808465574,2014,2,258336.98
119621121,2014,1,7280.58
56488174,2014,2,135939
3032752,2014,11,135717.62
859690005,2014,4,37124.4
829102222,2014,4,12000
606205412,2014,3,4170689.8
7301299,2014,2,7224.46
42478982,2014,1,20000
619696409,2014,1,4680
105151518,2014,3,190670.9
132880977,2014,1,2576.56
10219004,2014,1,26244.73
9887014,2014,9,3494946.92
967512968,2014,1,3050.84
825294577,2014,1,100128
781794995,2014,1,5304.5
835476094,2014,7,38095.56
623681160,2014,2,17686
147355747,2014,2,57373.99
838554202,2014,5,3215
78483200,2014,1,37500
968355045,2014,4,13227.22
53360673,2014,3,67193.65
235351066,2014,4,20840
169400442,2014,7,1046899.89
153859855,2014,1,18315
968825364,2014,4,35629
10770352,2014,1,25000
809237386,2014,1,15843
106413636,2014,1,4147.35
151587680,2014,9,329488
79140600,2014,1,63162
144817934,2014,2,1251894
8426439,2014,2,6740.23
78850754,2014,1,14826.56
119676187,2014,8,66431.37
70727610,2014,1,997.4
5030812,2014,2,4050
6918643,2014,1,5000
65972838,2014,2,40381
31828783,2014,8,616558.57
616209339,2014,4,30500
46375994,2014,1,284563.29
77165678,2014,7,150810.2
809444669,2014,10,3171931.26
618705925,2014,3,42339.66
198669160,2014,17,183442.09
623618972,2014,6,174013.65
139396183,2014,1,23869
39932715,2014,1,71000
790428754,2014,1,219385.2
883538316,2014,9,1563567.2
824738863,2014,2,203766.26
194322223,2014,4,34320.56
128000903,2014,3,
51371037,2014,1,58456.33
835147315,2014,5,87790
366490758,2014,3,141.05
62656350,2014,6,142131.03
135770357,2014,1,13800
157296476,2014,12,328518.6
78704172,2014,3,22828
50010263,2014,1,7416
794660431,2014,1,149116
362225104,2014,1,10614
1539386,2014,2,43479.45
189317311,2014,2,275816.01
783516511,2014,1,8507.7
139241389,2014,1,75750
961829319,2014,1,538200
655236821,2014,1,2636898.67
965837748,2014,4,192372
797078198,2014,3,55409.07
808224468,2014,3,1163304
9824863,2014,1,200
809995835,2014,3,1773971.58
128381550,2014,9,110280.19
99017113,2014,1,119500
157099438,2014,3,46386
365813557,2014,1,29095
130885106,2014,4,14501.96
795447312,2014,8,0
10887441,2014,1,149998
79220341,2014,2,8053
253518997,2014,1,12600
7255552,2014,2,43065
130073187,2014,1,31249
113003607,2014,2,28374.4
557304664,2014,2,35175.02
135725393,2014,1,1147667.37
838645026,2014,2,73180
131902699,2014,2,38741.18
33882635,2014,2,6188
609230271,2014,5,746118.37
10607497,2014,6,35050
169517831,2014,3,153249
832674902,2014,8,765053
34152040,2014,6,49520.58
141240080,2014,3,4223619.63
46318887,2014,7,338376.83
124411963,2014,5,132175.75
858984370,2014,5,38468.14
71178235,2014,1,5839.68
697204592,2014,6,111730.47
78887160,2014,2,4000
10214804,2014,1,42496
79441662,2014,1,97043.84
18248103,2014,2,685
83286617,2014,6,481668.07
5473780,2014,1,4600
1014612,2014,2,37389
166753322,2014,2,14265
72068950,2014,2,163681.61
175479625,2014,2,437248.16
78347292,2014,3,2400
929941441,2014,2,31000
54360545,2014,7,4123722.49
155280944,2014,1,10590.57
963722777,2014,1,59090
32755097,2014,3,757710
79968652,2014,1,1480
52317922,2014,7,50169.54
149795791,2014,8,587826.47
830669318,2014,3,419298.36
796905896,2014,1,22000
29702193,2014,2,30365.5
122194145,2014,1,749545.68
799119602,2014,1,13930
55479976,2014,3,61000
626089403,2014,6,119915.1
79444694,2014,1,7500
41322710,2014,18,1342516.54
927045336,2014,6,34474.7
631044067,2014,5,753590
4099313,2014,2,25816.6
59765743,2014,2,13331.3
118950328,2014,6,425999.5
947376901,2014,1,270689
959819095,2014,2,637
807937446,2014,7,128795.17
104044961,2014,1,149927
27716757,2014,3,12000
135051964,2014,4,756728.72
840601587,2014,13,118374692.5
198025467,2014,1,13537.62
141047261,2014,8,201100
6848485,2014,2,28920
91875005,2014,4,33163.31
38180213,2014,1,8079.11
877924477,2014,1,25950
607801094,2014,8,35178.5
69350692,2014,2,14714.3
198026390,2014,1,0
153815865,2014,6,3103827.71
689708212,2014,1,0
198052636,2014,1,7998
62929984,2014,1,22349.67
841253557,2014,15,1857822.77
784328028,2014,3,29103.15
181016197,2014,1,7500
782544092,2014,9,65531.55
604395467,2014,1,3605
60525151,2014,5,41852.92
618455802,2014,1,19494.34
609918847,2014,1,11700
147027999,2014,1,2418
89549737,2014,1,781056.96
176271138,2014,1,6608
786044693,2014,4,37562
792665176,2014,1,3130
962580895,2014,1,16480
3239563,2014,12,4622641.5
149364114,2014,6,33131
603915591,2014,4,203158.36
556861057,2014,2,31856
7239130,2014,5,26076.16
17733676,2014,5,54311.95
3099207,2014,5,90433.05
151127714,2014,1,18727.77
614770498,2014,1,480
9241183,2014,2,10431.94
127509318,2014,8,1003556
26468850,2014,2,27850
23209938,2014,1,43310
150180235,2014,6,40995.28
829002240,2014,5,108622.85
787216746,2014,1,14300
17228669,2014,2,29087.2
960789279,2014,3,46266
78352376,2014,2,6560.35
809712441,2014,3,78864
11761866,2014,1,74740.41
869248872,2014,1,48079.77
33111477,2014,2,13004
27145465,2014,3,21279.79
949103725,2014,3,106779
158476077,2014,1,325520
363347142,2014,1,32400
78579152,2014,2,3185.95
103341376,2014,1,11876.2
881957836,2014,4,133708.92
9655836,2014,1,3332.34
24027534,2014,13,52467.35
156932600,2014,1,96880.61
89448203,2014,8,917274.47
94945136,2014,2,23045.08
137347279,2014,1,83973.32
103676685,2014,3,4339
878737071,2014,11,220232.76
360801302,2014,1,15000
5123013,2014,6,69648.04
138330886,2014,5,250962
79412332,2014,1,149585
136312258,2014,3,18439
122257322,2014,1,7193
79323280,2014,1,2285
795491625,2014,1,559774
807420588,2014,1,29814.72
39337654,2014,1,3410.8
780680802,2014,7,202864.64
169169435,2014,5,7851115.39
45445137,2014,2,50000
962473729,2014,4,6439717.79
34765842,2014,1,0
21031455,2014,6,224607.51
54436091,2014,3,70805
113695931,2014,10,94221
144452542,2014,1,7000
168454770,2014,3,2512077
181058215,2014,3,82900
89858542,2014,5,0
140031501,2014,2,64201.92
95203907,2014,8,81629
132716437,2014,3,63360.51
196604524,2014,16,1105161.73
47229018,2014,1,4845
54106141,2014,3,504600
120200626,2014,3,164265.97
179492566,2014,8,11160209.87
133570601,2014,2,2285367
50747773,2014,2,64640.31
555223177,2014,1,422835.48
74835331,2014,3,23458.16
14863726,2014,1,470895.83
149372489,2014,11,140942.52
60799850,2014,4,318955.04
60165833,2014,1,280000
783739451,2014,2,408000
961635612,2014,2,97997.28
42830307,2014,3,613885
58180753,2014,2,22532.26
167872998,2014,2,31620
139130681,2014,8,13665141.93
613462084,2014,4,332423
115403057,2014,1,145346.4
79511030,2014,1,1062
19229780,2014,1,16429.56
46575429,2014,10,455625
29559635,2014,1,24500
11222426,2014,2,239394
2484186,2014,7,40294.3
82350018,2014,1,3467.89
781364278,2014,2,0
969579700,2014,2,910646
146670760,2014,1,10540
79377905,2014,1,10470.9
138249946,2014,2,23380
37042009,2014,4,20045
159682533,2014,2,4035.4
122006893,2014,1,83938
534598797,2014,1,17660000
602936556,2014,2,47082
104042080,2014,1,4298.59
72175342,2014,1,35155
202685959,2014,2,375610
843317913,2014,5,13392.51
68746197,2014,1,20295
78414287,2014,2,1374091.84
851137781,2014,1,3900
217279663,2014,1,748714
6421648,2014,2,1998.54
5487694,2014,1,9935
121433189,2014,4,148012.61
137511619,2014,1,69500
825567860,2014,2,14359.1
122660368,2014,14,24525546.44
623731226,2014,6,172758.74
18132147,2014,2,190333.6
152141495,2014,1,27675
793184628,2014,1,6931
9148578,2014,1,24998.45
60623451,2014,2,48250.89
791187847,2014,6,148217
833012565,2014,1,749990
50209316,2014,1,11650
782655427,2014,3,17221.97
3097433,2014,4,38141.1
361644714,2014,2,18300
55947972,2014,1,742038
141825088,2014,1,6400
78714279,2014,2,3117
830414277,2014,3,2600
949618412,2014,1,57600
103390449,2014,1,19965
77848968,2014,8,426004
73792939,2014,5,518908.87
170385244,2014,7,43244.94
834576787,2014,1,8995
148055395,2014,3,172063.26
967590287,2014,2,145587.75
938314143,2014,4,85588.88
5313783,2014,6,60234.76
714540700,2014,1,15000
87660080,2014,8,595365
962348764,2014,2,23166.66
100008887,2014,1,4200
625174149,2014,5,2595109.96
828956016,2014,1,17517.5
175311039,2014,2,74400
176385631,2014,2,221351
155522589,2014,2,20516
59162032,2014,4,99965.35
962966540,2014,3,13680
14684476,2014,7,10908.89
89410625,2014,1,13343
19165406,2014,9,798610.24
8893841,2014,1,28351.34
844779991,2014,1,3093.9
6147383,2014,3,3272814.01
78302097,2014,4,21200
181413543,2014,8,72834.69
830109930,2014,2,16140
787942114,2014,1,157787.49
153820402,2014,2,638781.97
148614501,2014,1,27800
828271333,2014,1,35763
78655483,2014,4,1600
859343709,2014,1,6700
834801982,2014,1,12951.39
75628698,2014,1,9090
858731649,2014,6,6443508.7
193273224,2014,7,24878.2
602157591,2014,2,57264.5
805878001,2014,2,130398
66550364,2014,1,4759
958454217,2014,1,10780
692554025,2014,1,8499.77
1468818,2014,1,3949.84
55669873,2014,1,7170
21068325,2014,3,37626.98
313099532,2014,1,104959
931081561,2014,1,4095
12042880,2014,2,338870
121364574,2014,2,539573.07
960536548,2014,2,90250
41963950,2014,11,142274.62
878073209,2014,2,894171.25
38284670,2014,3,38476
783557783,2014,4,29316.96
94471216,2014,1,7535
41710609,2014,4,148059.78
783194363,2014,5,40913.12
78778678,2014,7,146252.97
968020417,2014,1,50240
949095087,2014,4,506714.24
37993714,2014,1,0
44706542,2014,9,61268.04
86411535,2014,2,76628.48
801807848,2014,1,12800
72601123,2014,7,746630.05
137783093,2014,2,48650
143313752,2014,2,17015
9593682,2014,4,20093.69
829300180,2014,1,4950
786904016,2014,2,16166.85
837622059,2014,6,34873.45
8274540,2014,2,18547.2
143597768,2014,1,2501
126170476,2014,5,743725.12
8185709,2014,3,751954.17
115955007,2014,1,13550
824600642,2014,3,455191.1
15906287,2014,4,7389248.07
555984710,2014,1,22223
74371584,2014,3,950340.05
66173071,2014,1,3270
804509383,2014,1,83230
557805671,2014,5,556738.44
848251195,2014,3,6791.38
58071390,2014,4,83181.14
458155749,2014,5,2704348.02
31772991,2014,2,170055.6
341052180,2014,2,55227.44
793473435,2014,3,33283
718919186,2014,1,140
39849901,2014,13,514042.72
194676367,2014,1,509543
14450589,2014,1,69963.09
32366775,2014,1,9473.28
79081748,2014,1,90000
132715694,2014,7,37416.98
78791074,2014,5,84108.56
79465101,2014,1,22500
16857836,2014,2,1279852.37
112998703,2014,1,8400
694269218,2014,5,323528.35
73066847,2014,6,154794
791119113,2014,3,618571.12
557424145,2014,2,42150
157723941,2014,2,5319.32
175561281,2014,3,60395
63875967,2014,5,24541.22
962853680,2014,1,2897.8
87635959,2014,1,15852
879699486,2014,2,40669.63
45682903,2014,10,119983.2
801683889,2014,1,8443.61
78423310,2014,3,46459.32
613991871,2014,4,40700
58066036,2014,2,37600
129186941,2014,1,4884.1
837273598,2014,1,14834.82
158148218,2014,1,2700
944009240,2014,1,4833
173363052,2014,1,3743199
826518438,2014,2,8496285.71
780597568,2014,2,36958.47
4703786,2014,3,3782434.96
128374464,2014,3,408855.92
10855399,2014,1,24500
194953634,2014,1,75000
835491853,2014,1,35376.52
2388098,2014,3,26638
603109161,2014,14,10092414.24
362049046,2014,1,167208.03
138556050,2014,1,20483
52995717,2014,1,65178.57
126743616,2014,4,36985
119608631,2014,1,10000
44539922,2014,1,3208
841694974,2014,5,3530730.02
145992413,2014,3,19902.76
137194598,2014,1,35848
831562645,2014,1,7400
33521006,2014,2,9631.12
783388275,2014,1,21600
78578775,2014,4,22691.25
194662552,2014,5,353620.07
187421417,2014,2,9570.6
186824751,2014,14,1722162.68
79341135,2014,3,34887.79
796753221,2014,6,4190668.67
603890117,2014,1,4697.8
68636539,2014,1,3002.2
88202379,2014,7,2121545.2
50273820,2014,3,200802.16
150954662,2014,2,125000
151829231,2014,1,24549.32
961704843,2014,1,6037119
9069717,2014,5,269168
809805448,2014,2,920833
883486714,2014,6,642195
831342154,2014,2,81893.25
690540638,2014,2,8812445.95
79386612,2014,1,16318.4
609954862,2014,4,2610474.25
962411976,2014,7,481387.54
966308871,2014,1,0
78722892,2014,2,47250
606649572,2014,1,4392
828214861,2014,2,5432578.67
78680004,2014,2,63562
149716420,2014,1,3178.62
17096595,2014,2,7680.48
12291840,2014,3,11718
931118728,2014,1,5864
615720880,2014,8,5581368.95
145013715,2014,3,11601
31010606,2014,2,160441
109547013,2014,1,128609.6
626407449,2014,1,2794.84
43784610,2014,1,24921
636714107,2014,4,890476.78
68113281,2014,1,10580
141953567,2014,1,98648.77
826928538,2014,7,1502056
181627477,2014,1,50275
833130326,2014,1,115000
137470642,2014,1,26834
927742148,2014,5,334372.97
139137280,2014,1,3250
2378953,2014,1,20614.53
26112198,2014,3,15969.82
961831620,2014,1,4826246.64
137540683,2014,2,28926.4
40246196,2014,4,128374.5
631059599,2014,3,19062606
169005840,2014,1,0
137053513,2014,1,23368
789257743,2014,4,125951.4
788025542,2014,3,51705.72
43703420,2014,4,66446.32
84196211,2014,4,491010
192769904,2014,2,16269
5229872,2014,1,14200
150711005,2014,9,94991
24273476,2014,2,2099.76
127716913,2014,4,999409.46
185008125,2014,6,73360.78
147442995,2014,1,5202.3
186540998,2014,7,102884.43
799842013,2014,1,4938.7
137053695,2014,1,5000
804404114,2014,2,227704.92
9173980,2014,4,158500
147530513,2014,8,59280.65
969767271,2014,4,42834.15
51898419,2014,3,853132
800031320,2014,6,294990.6
4348509,2014,1,25000
96282637,2014,3,121610.75
963757955,2014,1,14220
392444683,2014,1,267521.24
35277318,2014,1,6385
945907319,2014,3,14714
69211907,2014,9,4125387.42
968908124,2014,9,432886.12
135516529,2014,1,0
290073423,2014,2,25921.48
626557318,2014,1,11472
97327548,2014,1,10085
958179905,2014,5,6912288.88
179145784,2014,2,196447.48
177573573,2014,2,8098.26
332065668,2014,2,2291297.52
613978670,2014,2,9930
962492174,2014,1,14560
190162094,2014,2,4860
177975562,2014,6,24800.52
607622123,2014,6,1863689.82
64173255,2014,1,2750
6545388,2014,1,32181.39
5603852,2014,2,43000
79518847,2014,1,15000
79248032,2014,1,8969.5
949596464,2014,8,438527.76
785322947,2014,2,62700
848009809,2014,1,6921
125439091,2014,6,278361.77
78565248,2014,5,2301398.21
195165568,2014,6,97180.12
602755709,2014,3,1046905.04
